"ScanID","PFT","PFT_2.x","PFT_3.x","PFT_4","color","veg_lifeform_code","group","Freq1","Freq2","Freq3","area","NDVI","NDWI","NDMI","NDSI","NBR","EVI"
"1","aleoch","Alectoria ochroleuca","Lichen_Yellow","Lichen","yellow","lich_fr",0,6,206,464,"Murphy",0.215284486967723,-0.330264979545887,-0.0602012801433182,-0.38285420890768,0.123303718675958,0.133123147342499
"4","aleoch","Alectoria ochroleuca","Lichen_Yellow","Lichen","yellow","lich_fr",0,6,206,464,"Murphy",0.178835626146886,-0.256936402608516,0.0679301662551213,-0.192363700941218,0.280579790963967,0.136194938304994
"2","aleoch","Alectoria ochroleuca","Lichen_Yellow","Lichen","yellow","lich_fr",0,6,206,464,"Murphy",0.219068967536858,-0.260859748441527,0.0294065413312411,-0.233242405632757,0.188923795923666,0.150412167504991
"6","aleoch","Alectoria ochroleuca","Lichen_Yellow","Lichen","yellow","lich_fr",0,6,206,464,"Murphy",0.187635374657652,-0.272905866302865,0.0328036705575019,-0.24227108258159,0.226124665995006,0.133274607139241
"arccen_Brooks004","arccen","Arctocetraria centrifuga","Lichen_Yellow","Lichen","yellow","lich_fo",0,4,206,464,"Brooks_Range",0.190148465459816,-0.20039100439567,0.0581671179252257,-0.143901223185858,0.191044138503151,0.242875026588975
"arccen_Brooks002","arccen","Arctocetraria centrifuga","Lichen_Yellow","Lichen","yellow","lich_fo",0,4,206,464,"Brooks_Range",0.163900261969572,-0.205976357745785,-0.00680528912206631,-0.21248380223104,0.142426296721328,0.167611631577862
"arccen_Brooks001","arccen","Arctocetraria centrifuga","Lichen_Yellow","Lichen","yellow","lich_fo",0,4,206,464,"Brooks_Range",0.183775593635111,-0.205627536729809,0.0640620021174463,-0.143455258058723,0.216492785845733,0.221791483518379
"arccen_Brooks003","arccen","Arctocetraria centrifuga","Lichen_Yellow","Lichen","yellow","lich_fo",0,4,206,464,"Brooks_Range",0.156586233821081,-0.183146374095973,-0.0571114779431487,-0.237770826236824,0.0752960799651796,0.167147122107439
"asachr_Brooks003","asachr","Asahinea chrysantha","Lichen_Yellow","Lichen","yellow","lich_fo",0,19,206,464,"Brooks_Range",0.191658254466717,-0.291756202155385,0.0900320720429833,-0.207165841325561,0.254058461782394,0.148859078623405
"asachr_Brooks004","asachr","Asahinea chrysantha","Lichen_Yellow","Lichen","yellow","lich_fo",0,19,206,464,"Brooks_Range",0.0897376148811851,-0.162396885828408,0.0406773496553193,-0.122528947070015,0.173303298645067,0.093473993663656
"6","asachr","Asahinea chrysantha","Lichen_Yellow","Lichen","yellow","lich_fo",0,19,206,464,"12mile",0.0812907502744626,-0.130401689722756,0.0792962620495378,-0.0516393979772385,0.24354958657199,0.111216079200695
"11","asachr","Asahinea chrysantha","Lichen_Yellow","Lichen","yellow","lich_fo",0,19,206,464,"12mile",0.122873182544359,-0.199106515147553,0.0139513828454577,-0.185670890986276,0.211939249575531,0.125556536579722
"10","asachr","Asahinea chrysantha","Lichen_Yellow","Lichen","yellow","lich_fo",0,19,206,464,"12mile",0.0884938519322832,-0.133852619963325,0.0747412412728053,-0.0597087233259166,0.23992745496103,0.14883935175687
"15","asachr","Asahinea chrysantha","Lichen_Yellow","Lichen","yellow","lich_fo",0,19,206,464,"12mile",0.139919902810607,-0.202604732479658,0.10583797049561,-0.0988872278766896,0.264236318051814,0.217483143578694
"12","asachr","Asahinea chrysantha","Lichen_Yellow","Lichen","yellow","lich_fo",0,19,206,464,"12mile",0.0862155836318844,-0.134707335919151,0.062993706076195,-0.0723273793217708,0.210051715656081,0.132245408548064
